,x_ind,cluster,centroid,train/test,lambda,rf,error,parent_ind
383,383,2,1,0,3,0.5333333333333333,0.0,1365
384,384,4,1,0,4,0.3333333333333333,0.0,284
385,385,2,1,0,3,0.2,0.0,671
386,386,1,0,0,5,0.13333333333333333,0.0,286
387,387,0,0,1,4,0.3333333333333333,-0.1333333333333333,685
388,388,4,1,0,4,0.13333333333333333,0.0,188
389,389,2,0,0,4,0.5333333333333333,0.06666666666666665,89
390,390,1,0,0,5,0.6666666666666666,0.0,489
391,391,2,0,0,4,0.8666666666666667,-0.33333333333333337,3226
392,392,0,0,0,5,0.5333333333333333,-0.2,382
393,393,1,0,1,4,1.0,0.0,2376
394,394,3,1,0,4,0.4,0.0,284
395,395,4,0,0,5,0.7333333333333333,-0.4666666666666666,275
396,396,2,0,0,4,0.3333333333333333,-0.1333333333333333,398
397,397,0,0,0,3,0.2,-0.06666666666666668,695
398,398,2,1,0,3,0.2,0.0,2265
399,399,2,0,0,5,0.26666666666666666,-0.13333333333333333,320
400,400,0,0,0,4,0.26666666666666666,0.0,1395
401,401,2,1,0,4,0.13333333333333333,0.0,1496
402,402,2,1,0,4,0.4,0.0,4466
403,403,2,0,0,5,0.13333333333333333,-0.13333333333333333,304
404,404,2,1,0,3,0.13333333333333333,0.0,213
405,405,0,0,0,5,0.13333333333333333,-0.13333333333333333,216
406,406,2,1,0,4,0.2,0.0,526
407,407,4,0,0,5,0.13333333333333333,0.0,507
408,408,0,0,0,4,0.4666666666666667,-0.06666666666666665,706
409,409,2,0,0,5,0.26666666666666666,-0.13333333333333333,320
410,410,0,0,1,4,0.13333333333333333,0.4,1597
411,411,2,0,0,5,0.13333333333333333,0.0,312
412,412,0,1,0,4,0.13333333333333333,0.0,1107
413,413,0,0,0,5,0.13333333333333333,-0.13333333333333333,314
414,414,2,0,1,5,0.3333333333333333,0.06666666666666671,402
415,415,0,0,1,5,0.13333333333333333,-0.13333333333333333,216
416,416,2,0,1,4,0.0,0.0,117
417,417,1,1,0,4,0.0,0.0,118
418,418,4,1,0,4,0.2,0.0,526
419,419,2,0,0,5,0.26666666666666666,-0.13333333333333333,320
420,420,2,0,0,4,0.13333333333333333,0.0,301
421,421,4,1,0,0,0.13333333333333333,0.0,-1
422,422,4,0,1,4,0.0,0.13333333333333333,542
423,423,2,0,0,5,0.13333333333333333,0.0,433
424,424,1,1,0,4,0.13333333333333333,0.0,436
425,425,3,0,0,5,0.13333333333333333,-0.13333333333333333,336
426,426,2,0,1,5,0.2,-0.2,319
427,427,3,0,0,5,0.0,0.0,328
428,428,0,0,0,4,0.0,0.3333333333333333,129
429,429,2,0,1,5,0.13333333333333333,-0.13333333333333333,342
430,430,4,1,0,3,0.26666666666666666,0.0,4595
431,431,2,0,0,5,0.13333333333333333,-0.13333333333333333,342
432,432,2,1,0,3,0.13333333333333333,0.0,313
433,433,2,1,0,4,0.13333333333333333,0.0,1328
434,434,2,1,0,2,0.0,0.0,1249
435,435,3,0,0,5,0.13333333333333333,-0.13333333333333333,336
436,436,2,1,0,3,0.0,0.0,1431
437,437,3,1,0,4,0.0,0.0,348
438,438,4,0,1,4,0.13333333333333333,0.6,736
439,439,2,0,0,5,0.13333333333333333,-0.13333333333333333,342
