,x_ind,cluster,centroid,train/test,lambda,rf,error,parent_ind
239,239,2,0,1,4,0.0,0.0,167
240,240,2,0,1,5,0.0,0.0,40
241,241,0,1,0,2,0.0,0.0,420
242,242,1,1,0,4,0.0,0.0,342
243,243,1,0,0,3,0.0,0.0,4318
244,244,1,1,0,3,0.0,0.0,224
245,245,2,1,0,3,0.0,0.0,246
246,246,1,1,0,2,0.0,0.0,356
247,247,3,1,0,3,0.0,0.0,2223
248,248,0,0,1,5,0.0,0.0,158
249,249,3,1,0,3,0.3333333333333333,0.0,2342
250,250,3,0,0,5,0.13333333333333333,0.0,160
251,251,3,0,1,5,0.13333333333333333,0.13333333333333333,4507
252,252,1,0,1,5,0.0,0.0,242
253,253,0,0,0,3,0.0,0.0,241
254,254,3,0,1,5,0.0,0.0,54
255,255,3,1,0,2,0.0,0.0,63
256,256,3,0,0,4,0.0,0.0,156
257,257,1,0,0,4,0.0,0.0,317
258,258,0,0,0,5,0.0,0.0,158
259,259,1,0,0,4,0.0,0.0,379
260,260,1,0,0,4,0.13333333333333333,0.0,459
261,261,1,0,0,4,0.6666666666666666,0.33333333333333337,81
262,262,3,0,0,4,0.13333333333333333,0.0,461
263,263,3,1,0,3,0.13333333333333333,0.0,374
264,264,3,1,0,4,0.0,0.0,174
265,265,1,0,0,3,0.0,0.0,2323
266,266,3,0,0,4,0.0,0.0,156
267,267,0,0,0,3,0.13333333333333333,0.06666666666666668,4822
268,268,1,0,0,4,0.0,0.0,278
269,269,3,0,0,4,0.13333333333333333,-0.13333333333333333,448
270,270,2,0,0,5,0.3333333333333333,0.0,370
271,271,2,1,0,3,0.4666666666666667,0.0,2452
272,272,4,0,0,5,0.3333333333333333,0.0,282
273,273,3,0,0,4,0.8,-0.2666666666666667,165
274,274,0,0,1,5,0.13333333333333333,0.19999999999999998,284
275,275,1,1,0,3,0.26666666666666666,0.0,4338
276,276,2,0,0,4,0.13333333333333333,0.0,286
277,277,3,1,0,2,0.0,0.0,754
278,278,1,1,0,3,0.0,0.0,386
279,279,2,0,1,3,0.5333333333333333,0.06666666666666665,4354
280,280,1,1,0,2,0.5333333333333333,0.0,372
281,281,1,1,0,3,1.0,0.0,579
282,282,4,1,0,4,0.3333333333333333,0.0,182
283,283,1,0,0,4,0.5333333333333333,-0.06666666666666665,462
284,284,0,1,0,4,0.3333333333333333,0.0,174
285,285,1,1,0,3,0.8666666666666667,0.0,3132
286,286,2,1,0,3,0.13333333333333333,0.0,386
287,287,1,0,1,4,0.4,-0.13333333333333336,275
288,288,3,0,0,4,0.13333333333333333,0.0,188
289,289,3,0,0,3,0.06666666666666667,-0.06666666666666667,277
290,290,3,0,1,5,0.6666666666666666,0.0,489
291,291,0,0,1,3,0.4,-0.2666666666666667,4426
292,292,0,1,0,4,0.6666666666666666,0.0,182
293,293,3,1,0,3,1.0,0.0,579
294,294,2,0,0,5,0.4,0.06666666666666665,194
295,295,0,0,0,3,0.5333333333333333,0.0,4550
296,296,2,0,1,4,0.3333333333333333,-0.19999999999999998,286
297,297,1,0,1,3,1.0,-0.19999999999999996,2469
298,298,3,0,1,4,0.3333333333333333,-0.19999999999999998,188
299,299,3,1,0,3,0.4,0.0,1281
300,300,2,1,0,4,0.13333333333333333,0.0,2101
301,301,3,1,0,2,0.13333333333333333,0.0,420
302,302,1,1,0,5,0.13333333333333333,0.0,1206
303,303,0,1,0,1,0.0,0.0,542
304,304,2,1,0,4,0.0,0.0,314
305,305,1,1,0,3,0.0,0.0,412
306,306,4,1,0,4,0.0,0.0,515
307,307,3,1,0,3,0.06666666666666667,0.0,2410
308,308,3,0,1,5,0.0,0.13333333333333333,507
309,309,1,0,0,4,0.0,0.3333333333333333,9
310,310,2,0,0,5,0.13333333333333333,0.0,300
311,311,0,0,0,4,0.2,0.0,4266
312,312,3,1,0,2,0.13333333333333333,0.0,222
313,313,4,0,0,3,0.0,0.0,13
314,314,2,1,0,3,0.0,0.0,224
315,315,0,0,1,3,0.0,0.0,4090
316,316,1,1,0,4,0.0,0.0,515
317,317,1,1,0,3,0.0,0.0,437
318,318,1,0,1,5,0.0,0.0,328
319,319,1,1,0,3,0.0,0.0,2409
320,320,1,0,0,5,0.13333333333333333,0.13333333333333333,419
321,321,4,1,0,2,0.13333333333333333,0.0,222
322,322,2,0,1,5,0.13333333333333333,0.0,1416
323,323,1,0,0,5,0.06666666666666667,-0.06666666666666667,143
324,324,0,1,0,1,0.0,0.0,421
325,325,0,1,0,1,0.0,0.0,456
326,326,3,1,0,4,0.0,0.0,515
327,327,3,1,0,2,0.06666666666666667,0.0,4402
328,328,1,1,0,4,0.0,0.0,417
329,329,1,0,0,4,0.0,0.0,317
330,330,1,0,0,5,0.13333333333333333,0.13333333333333333,419
331,331,1,0,0,4,0.13333333333333333,-0.13333333333333333,211
332,332,1,0,0,5,0.0,0.0,242
333,333,1,1,0,3,0.0,0.0,213
334,334,2,0,0,5,0.0,0.0,234
335,335,3,1,0,3,0.06666666666666667,0.0,347
336,336,3,0,0,5,0.0,0.0,326
337,337,1,0,0,4,0.0,0.13333333333333333,516
338,338,1,0,0,5,0.0,0.0,348
339,339,1,1,0,2,0.5333333333333333,0.0,566
340,340,0,0,0,5,0.13333333333333333,0.0,439
341,341,1,0,0,4,0.13333333333333333,0.5333333333333333,2151
342,342,3,1,0,3,0.0,0.0,142
343,343,2,0,0,4,0.06666666666666667,0.4,271
344,344,4,0,0,5,0.0,0.13333333333333333,433
345,345,1,1,0,3,0.06666666666666667,0.0,1039
346,346,0,0,0,4,0.0,0.0,445
347,347,3,1,0,2,0.06666666666666667,0.0,1449
348,348,1,1,0,4,0.0,0.0,447
349,349,3,0,0,4,0.13333333333333333,0.0,647
350,350,0,0,1,5,0.13333333333333333,0.0,439
351,351,0,0,1,3,0.0,0.13333333333333333,4426
352,352,2,1,0,4,0.0,0.0,342
353,353,3,1,0,2,0.2,0.0,460
354,354,3,0,1,5,0.0,0.0,264
355,355,3,0,0,4,0.06666666666666667,-0.06666666666666667,247
356,356,1,1,0,1,0.0,0.0,664
357,357,1,1,0,3,0.26666666666666666,0.0,2342
358,358,4,1,0,4,0.0,0.0,447
359,359,3,0,0,4,0.06666666666666667,0.33333333333333337,299
360,360,1,0,0,4,0.13333333333333333,0.0,459
361,361,4,1,0,3,0.13333333333333333,0.0,181
362,362,3,0,0,4,0.13333333333333333,0.0,461
363,363,2,0,0,3,0.0,0.0,4318
364,364,2,0,0,5,0.0,0.13333333333333333,453
365,365,3,0,0,4,0.3333333333333333,0.06666666666666671,2350
366,366,2,0,1,4,0.0,0.13333333333333333,286
367,367,0,0,1,3,0.0,0.5333333333333333,4550
